"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","mean.temp","sum.precip","sd.temp","growing.season","pop_log","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","morphological.complexity.ld.centered","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","stock","region","mean.dependency.length","information.density","syllable.rate","information.rate","mean.length","mean.aoa","normalized.vowel.diversity","normalized.consonant.diversity","normalized.tone.diversity","normalized.phoneme.diversity","distance.from.origin","area_log","perimeter_log","n.neighbors_log","sd.precip_log","ratio.L2.L1_log","n.L1.speakers_log","n.L2.speakers_log","n.phonemes_log","n.consonants_log","n.vowels_log","n.sonorants_log","n.obstruents_log","n.monophthongs_log","n.qual.monophthongs_log","n.tones_log","morphological.complexity_log"
"11","deu","Indo-European","Germanic","Switzerland","Europe","german",52,10,8.0410325,68.884125,14.081325,6.7433325,7.97952,0.448203925,0.328909055,0.300133702,0.399168584,-13,-0.54167,0.247334328,0.249339735,0.157360783,"Indo-European","Europe",24,0.79,5.97,0.9,4.25,3.4694983277592,1.3900889,0.12048546,-0.7687792,0.247265066,7277.99,15.4071282062547,14.2255033266564,2.6149597780362,1.87049940558651,-0.658730828350134,18.3912519332616,17.7325211049035,3.66356164612965,3.13549421592915,2.77258872223978,1.79175946922805,2.83321334405622,2.77258872223978,2.07944154167984,NA,2.77258872223978
"12","ell","Indo-European","Greek","Greece","Europe","greek",39,22,17.3359121212121,60.3326666666667,33.2696363636364,7.67866060606061,7.08844,0.323271874,0.168170791,0.213950153,0.257543324,NA,NA,0.150092396,0.445244707,0.167548845,"Indo-European","Europe",19.5,NA,NA,NA,4.825,4.04522727272727,-0.4846364,0.12048546,-0.7687792,-0.377643382,6024.787,14.502170527714,15.6907125971304,1.69167601067107,1.95653831793115,-0.131207273767982,16.3446131042588,16.2134058307626,3.25809653802148,3.04452243772342,1.6094379124341,1.6094379124341,2.77258872223978,1.6094379124341,1.6094379124341,NA,2.94443897916644
"13","hin","Indo-European","Indic","India","Asia","hindi",25,77,25.61550625,95.25125,139.4201875,4.1553875,8.25711,0.354888164,0.235757543,0.271638936,0.305842297,NA,NA,-0.41049522,0.061280244,-0.468400712,"Indo-European","Indic",21.9,NA,NA,NA,3.76923076923077,NA,-0.4846364,1.79538213,-0.7687792,0.180655509,8691.814,16.6478656809129,15.7682933221194,4.66814498514948,1.75926533185248,-0.211232428723686,19.0669370829871,18.8557046543021,4.54329478227,4.26267987704132,3.13549421592915,2.77258872223978,4.00733318523247,2.94443897916644,1.79175946922805,NA,2.77258872223978
"14","ita","Indo-European","Romance","Switzerland","Europe","italian",43,12,13.4033642857143,75.5140714285714,20.4518928571429,9.90546071428571,7.7888,0.42946793,0.278695629,0.26854984,0.356431677,NA,NA,-0.10108977,0.328083242,-0.143249283,"Indo-European","Europe",18,0.72,6.99,0.96,4.775,3.8705033557047,NA,NA,NA,NA,NA,14.907772894962,14.0865614076461,2.46385324059017,1.90058931693065,-0.275331190245487,18.0028647618415,17.7275335633924,3.40119738166216,3.13549421592915,1.94591014905531,2.07944154167984,2.70805020110221,1.94591014905531,1.94591014905531,NA,2.70805020110221
"15","jpn","Japanese","Japanese","Japan","Asia","japanese",37,140,10.669896,122.472,60.78324,7.709504,8.0879,0.107663595,-0.004269927,0.115936829,0.051694017,NA,NA,NA,NA,NA,NA,NA,19.4,0.49,7.84,0.73,4.207805907173,NA,-0.4846364,-0.7169629,0.54663194,-0.218322461,13672.06,17.4206302338161,NA,2.89037175789616,2.18179955433341,NA,NA,NA,3.68887945411394,3.29583686600433,2.39789527279837,1.79175946922805,3.04452243772342,2.39789527279837,1.6094379124341,0.693147180559945,2.94443897916644
"16","zsm","Austronesian","Sundic","Malaysia","Asia","malay",3,102,26.84225,192.7595,69.891125,11.796225,7.24562,0.268788194,0.166456067,0.154755959,0.249785371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3311876946474,16.4470889902171,4.21582445975981,-0.712992808780652,NA,NA,NA,3.29583686600433,3.04452243772342,1.79175946922805,1.79175946922805,2.70805020110221,1.79175946922805,1.79175946922805,NA,2.56494935746154
"17","mal","Dravidian","Southern Dravidian","India","Asia","malayalam",10,76.5,26.9530888888889,253.263222222222,215.625888888889,9.36296666666667,7.55336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,15.0092102743566,15.0683275250017,3.52636052461616,0.0233909527905789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63905732961526
"18","pan","Indo-European","Indic","Pakistan","Asia","panjabi",31,74,22.7048,86.167,103.074,5.1429,7.44726,0.298064442,0.209817154,0.176613657,0.249110848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43333333333333,NA,NA,NA,NA,NA,NA,15.4070512666293,14.1738693833785,2.77258872223978,2.00852270957798,NA,18.3386869759729,NA,4.29045944114839,3.91202300542815,2.99573227355399,2.63905732961526,3.58351893845611,2.99573227355399,2.30258509299405,1.09861228866811,2.56494935746154
"19","pol","Indo-European","Slavic","Poland","Europe","polish",52,20,7.6177,54,21.769,6.881,7.63051,0.368976078,0.255472964,0.194842236,0.332022085,NA,NA,0.712672698,0.812760528,0.714252302,"Indo-European","Europe",NA,NA,NA,NA,4.5,3.83662878787879,-0.4846364,0.9579338,-0.7687792,-0.098493936,6789.507,15.8677559260711,14.108902672055,1.98100146886658,2.09254284359949,-3.55257799666401,17.5041567348712,13.9515787302408,3.61091791264422,3.43398720448515,1.79175946922805,2.07944154167984,3.13549421592915,1.79175946922805,1.79175946922805,NA,2.77258872223978
"20","pes","Indo-European","Iranian","Iran","Asia","persian",32,54,18.8035153846154,4.76596153846154,4.6785,0.108626923076923,7.38589,0.072154253,-0.055005326,0.027726175,0.012656652,NA,NA,0.395093957,0.264814273,-0.106286409,"Indo-European","Greater Mesopotamia",24.6,NA,NA,NA,4.025,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,6351.344,18.043707096835,16.7349859444075,4.07753744390572,2.22806626722076,0.267866794665584,17.6747781479951,17.9426449430094,3.40119738166216,3.17805383034795,1.79175946922805,1.79175946922805,2.89037175789616,1.79175946922805,1.79175946922805,NA,2.99573227355399
"21","som","Afro-Asiatic","Eastern Cushitic","Somalia","Africa","somali",3,45,27.0416166666667,36.2158333333333,34.66075,3.33974166666667,7.10221,0.182521272,0.109646953,0.177367102,0.172688439,NA,NA,-0.094888136,0.509332264,0.065110146,"Cushitic","Greater Abyssinia  ",NA,NA,NA,NA,4.03896103896104,NA,1.3900889,0.12048546,0.54663194,0.685735432,3971.735,16.914338895239,15.0575313207277,2.52572864430826,0.494691160522386,-3.3229979687361,16.445361351471,13.1223633774043,3.95124371858143,3.40119738166216,2.99573227355399,2.19722457733622,3.04452243772342,2.99573227355399,2.30258509299405,0.693147180559945,2.63905732961526
"22","swa","Niger-Congo","Bantoid","Tanzania","Africa","swahili",-6.5,39,26.3447444444444,101.259888888889,78.2663333333333,8.10233333333333,5.88798,0.320511025,0.222506485,0.202616015,0.285695007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2450577540078,13.6282178655247,1.70474809223843,0.370313733583594,NA,16.552303046821,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04452243772342
"23","swe","Indo-European","Germanic","Sweden","Europe","swedish",60,15,4.4875,51.211,17.219,5.2722,6.94398,0.414008054,0.2983807,0.272198328,0.371180321,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,NA,3.61875,3.45548494983278,NA,NA,NA,NA,NA,16.9461767027098,15.9703131346009,2.67414864942653,2.11785664195265,NA,16.0343976867668,NA,3.55534806148941,2.89037175789616,2.83321334405622,1.6094379124341,2.56494935746154,2.83321334405622,2.19722457733622,NA,2.39789527279837
"24","tel","Dravidian","South-Central Dravidian","India","Asia","telugu",16,79,27.5381,81.056,82.884,5.4667,7.84316,0.168289451,0.011723266,0.141156077,0.126380109,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA,NA,5.11666666666667,NA,-0.4846364,0.9579338,-0.7687792,-0.098493936,9263.461,16.9936283446003,15.7891970617282,3.68887945411394,1.16033434729611,-2.6952891310108,18.120237594333,15.4249484695984,4.21950770517611,3.85014760171006,3.04452243772342,2.484906649788,3.55534806148941,3.04452243772342,2.30258509299405,NA,2.39789527279837
"25","tha","Tai-Kadai","Kam-Tai","Thailand","Asia","thai",16,101,27.3432,104.94975,88.85225,7.073875,7.306,0.368569803,0.255574067,0.266398402,0.342220542,-13,-0.68421,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64518272425249,NA,1.3900889,0.12048546,1.86204304,1.124205799,11377.11,16.542989329484,16.0131448291423,3.43398720448515,0.734588982959606,0.67349505480784,16.830894956313,17.5043900113282,3.80666248977032,3.04452243772342,2.89037175789616,1.94591014905531,2.63905732961526,2.89037175789616,2.19722457733622,1.79175946922805,1.79175946922805
"26","tur","Altaic","Turkic","Turkey","Eurasia","turkish",39,35,10.4969727272727,34.7320909090909,17.7285151515152,4.2002303030303,7.70437,0.206613543,0.099222086,0.105532156,0.177811542,NA,NA,1.292982523,1.189024247,1.276902534,"Turkic","Greater Mesopotamia",23.7,NA,NA,NA,4.26875,3.94511705685619,1.3900889,0.12048546,-0.7687792,0.247265066,5218.225,16.3234791093421,15.270477679341,2.59525470695687,2.01029037844463,-1.77292805458271,17.9486760739593,16.1757480483239,3.68887945411394,3.17805383034795,2.77258872223978,1.79175946922805,2.89037175789616,2.77258872223978,2.07944154167984,NA,3.2188758248682
"27","urd","Indo-European","Indic","Pakistan","Asia","urdu",25,67,26.058019047619,19.4038095238095,28.873380952381,1.6047619047619,7.78178,0.160483448,0.128024539,0.133203327,0.131005133,NA,NA,-0.358326583,0.202996713,-0.481385111,"Indo-European","Indic",NA,NA,NA,NA,3.98717948717949,NA,NA,NA,NA,NA,NA,13.3724409299586,14.0013392907536,2.52572864430826,1.4469593182573,-0.333313505469359,17.9195876055308,17.5862741002926,NA,NA,NA,NA,NA,NA,NA,NA,2.56494935746154
"28","azb","Altaic","Turkic","Iraq","Asia","azerbaijani",40.5,48.5,13.3955833333333,38.7445,28.0053333333333,5.2796,7.38675,0.282797384,0.181506393,0.173837996,0.24607037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78571428571429,NA,1.3900889,0.12048546,-0.7687792,0.247265066,6117.956,14.8236986916963,14.1243483334888,2.484906649788,2.18121939726839,NA,NA,NA,3.52636052461616,3.2188758248682,2.19722457733622,1.38629436111989,3.04452243772342,2.19722457733622,2.19722457733622,NA,2.63905732961526
"29","brh","Dravidian","Northern Dravidian","Pakistan","Asia","brahui",28.5,67,21.82815,9.6355,11.453,1.375,6.34439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57938596491228,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,7633.551,15.3385289909301,13.654750668683,2.07944154167984,2.15604951123427,NA,NA,NA,3.49650756146648,3.17805383034795,2.19722457733622,1.79175946922805,2.89037175789616,2.19722457733622,1.38629436111989,NA,2.99573227355399
"30","rmt","Indo-European","Indic","Jordan","Asia","domari",32,35,20.0686,41.412,48.517,4.7059,6.27326,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91538461538462,NA,NA,NA,NA,NA,NA,4.76217393479776,8.34212526333359,1.79175946922805,1.71601169178978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221
"31","prs","Indo-European","Iranian","Afghanistan","Asia","dari",35,66,7.17473333333333,27.0616666666667,24.3076666666667,1.6611,6.88081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,NA,NA,NA,NA,NA,NA,16.4741744172184,15.5556129824451,4.44265125649032,2.27622058356272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56494935746154
"32","gju","Indo-European","Indic","India","Asia","gojri",32.75,76.25,17.8133,86.383,57.085,8.4,5.99665,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59447004608295,NA,NA,NA,NA,NA,NA,11.2003858774435,12.6748567814962,2.15948424935337,1.98905173695183,NA,NA,NA,3.91202300542815,3.46573590279973,2.89037175789616,2.30258509299405,3.09104245335832,2.89037175789616,1.38629436111989,NA,2.56494935746154
"33","sgl","Indo-European","Iranian","Tajikistan","Asia","ishkashmi",37,72,NA,NA,NA,NA,3.17609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.123461650589,11.7838033852029,2.01490302054226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56494935746154
"34","kaz","Altaic","Turkic","Kazakhstan","Asia","kazakh",50,70,6.046175,14.5375,8.6215,1.0697,6.91269,NA,NA,NA,NA,-2,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7125,NA,NA,NA,NA,NA,NA,17.2306901425498,15.8713732915432,2.88106936523385,2.58120119343208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.484906649788
"35","kir","Altaic","Turkic","Kyrgyzstan","Asia","kirghiz",42,75,11.40065,12.4645,7.527,0.875,6.49648,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75641025641026,NA,1.3900889,0.12048546,-0.7687792,0.247265066,8276.863,15.6121179652611,14.709817200884,2.37490575457367,2.42299135165712,NA,NA,NA,3.58351893845611,2.99573227355399,2.77258872223978,1.79175946922805,2.63905732961526,2.77258872223978,2.07944154167984,NA,2.70805020110221
"36","kaa","Altaic","Turkic","Uzbekistan","Asia","karakalpak",43,60,11.2,10.1586,6.1312,0.1,5.61441,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06410256410256,NA,NA,NA,NA,NA,NA,14.3646603392515,14.5499863247052,2.07944154167984,2.48613922319055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56494935746154
"37","bsh","Indo-European","Indic","Pakistan","Asia","katiinafghanistan",35.5,70,NA,NA,NA,NA,4.27184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,12.246612200168,12.5353386221753,2.30258509299405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.484906649788
"38","mhj","Altaic","Mongolic","Afghanistan","Asia","moghol",35,62,NA,NA,NA,NA,2.30103,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05882352941176,NA,-0.4846364,0.12048546,-0.7687792,-0.377643382,7099.201,8.85409390765552,10.3565993141116,0.693147180559945,NA,NA,NA,NA,3.36729582998647,3.17805383034795,1.6094379124341,2.39789527279837,2.56494935746154,1.6094379124341,1.6094379124341,NA,2.70805020110221
"39","oru","Indo-European","Iranian","Pakistan","Asia","ormuri",32.5,69.75,NA,NA,NA,NA,3.02119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02857142857143,NA,-0.4846364,-1.5544112,-0.7687792,-0.935942272,7825.179,10.2109354869024,11.0159534354928,1.38629436111989,NA,NA,NA,NA,3.43398720448515,3.2188758248682,1.79175946922805,2.39789527279837,2.63905732961526,1.79175946922805,1.79175946922805,NA,2.56494935746154
"40","prn","Indo-European","Indic","Afghanistan","Asia","prasuni",35.5,71,NA,NA,NA,NA,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6918994573219,11.3648430028779,1.6094379124341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63905732961526
"41","apc","Afro-Asiatic","Semitic","Syria","Asia","arabicsyrian",34,38,16.7884214285714,19.4375,17.4723571428571,1.31492142857143,7.15563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58333333333333,NA,NA,NA,NA,NA,NA,13.8834509424477,13.6596099729456,1.94591014905531,2.00507584401005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70805020110221
"42","aln","Indo-European","Albanian","Albania","Europe","albanian",41,20,14.9028625,90.279,38.0735,9.84375,6.44393,0.250572705,0.084867537,0.178381806,0.174521636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,NA,1.3900889,0.12048546,-0.7687792,0.247265066,6143.505,13.5242681550511,13.3374650795551,2.01490302054226,1.84506916680759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83321334405622
"43","mkd","Indo-European","Slavic","Macedonia","Europe","macedonian",41.67,21.75,12.2885166666667,44.2951666666667,10.7826666666667,6.04166666666667,6.20364,0.483938497,0.369632662,0.3245376,0.468506672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1375,NA,NA,NA,NA,NA,NA,13.9670816277424,13.3389940324452,2.39789527279837,2.09889484326301,NA,NA,NA,3.46573590279973,3.25809653802148,1.79175946922805,1.94591014905531,2.94443897916644,1.79175946922805,1.79175946922805,NA,2.484906649788
"44","hye","Indo-European","Armenian","Turkey","Eurasia","armenian",40,45,12.8469785714286,20.7108571428571,11.4793928571429,4.05892857142857,6.82762,0.415663261,0.30147607,0.272546204,0.382974129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.28125,NA,-0.4846364,-1.5544112,-0.7687792,-0.935942272,5840.478,13.3722122137113,13.179945571807,2.01490302054226,2.33513041588328,NA,NA,NA,3.61091791264422,3.43398720448515,1.79175946922805,1.79175946922805,3.2188758248682,1.79175946922805,1.79175946922805,NA,2.83321334405622
"45","kat","Kartvelian","Kartvelian","Georgia","Asia","georgian",42,44,5.49747272727273,67.4981818181818,24.1493636363636,6.12120909090909,6.62103,0.391881002,0.296647137,0.283574752,0.376557817,NA,NA,1.088108383,0.899690401,1.041570258,"Kartvelian","Greater Mesopotamia",NA,NA,NA,NA,5.6,NA,-0.4846364,0.9579338,-0.7687792,-0.098493936,5922.392,14.0032826502319,13.5565947407619,2.69124308278583,1.97497708908403,-3.97388686665966,15.2636687727356,11.289781913656,3.55534806148941,3.36729582998647,1.79175946922805,1.6094379124341,3.17805383034795,1.79175946922805,1.6094379124341,NA,3.2188758248682
"46","kmr","Indo-European","Iranian","Turkey","Eurasia","kurmanji",38,42,14.3647655172414,67.6056206896552,49.4219310344828,4.31934827586207,6.95969,NA,NA,NA,NA,-2,-0.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.875,NA,1.3900889,0.9579338,-0.7687792,0.526414511,5534.577,14.807276830016,14.163652120952,2.56494935746154,2.27782521952102,NA,NA,NA,3.85014760171006,3.40119738166216,2.83321334405622,2.19722457733622,3.04452243772342,2.19722457733622,1.38629436111989,NA,2.56494935746154
"47","krc","Altaic","Turkic","Russia","Eurasia","karachaybalkar",43.5,42,1.40115714285714,59.4937142857143,47.5788571428571,4.21428571428571,5.38209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48648648648649,NA,NA,NA,NA,NA,NA,14.0872918808844,13.5609214881783,2.19722457733622,1.8526238382132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.63905732961526
"48","aii","Afro-Asiatic","Semitic","Syria","Asia","neoaramaicassyrian",36,41,18.1848666666667,24.3280833333333,22.3165416666667,4.08333333333333,5.3227,NA,NA,NA,NA,NA,NA,0.539493953,0.235429391,0.682940109,"Semitic","Greater Mesopotamia",NA,NA,NA,NA,4.55223880597015,NA,NA,NA,NA,NA,NA,11.0456421323603,12.1083206118258,1.94591014905531,2.25088162677823,2.32842725825403,12.6750288514195,15.0034561092913,NA,NA,NA,NA,NA,NA,NA,NA,2.56494935746154
"49","rus","Indo-European","Slavic","Russia","Eurasia","russian",56,38,4.90176666666667,53.4298666666667,17.1219666666667,4.78655,8.16146,0.449202464,0.346802597,0.256513132,0.419505068,-11,-0.47826,0.850436683,0.819164737,0.789077192,"Indo-European","Inner Asia",20.3,NA,NA,NA,5.12820512820513,3.33966555183946,-0.4846364,0.9579338,-0.7687792,-0.098493936,7094.689,NA,18.1394413209925,3.86702563949741,2.34377342040621,-0.321931807494877,18.8379227315794,18.5159909237567,3.63758615972639,3.49650756146648,1.6094379124341,2.19722457733622,3.17805383034795,1.6094379124341,1.6094379124341,NA,2.83321334405622
"50","ukr","Indo-European","Slavic","Ukraine","Asia","ukranian",49,33,8.77156666666667,54.2056666666667,18.078,6.7857,7.59596,0.370872167,0.246811328,0.207987682,0.327162296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.525,NA,NA,NA,NA,NA,NA,16.5210105099438,14.6886484560215,2.50552593699074,2.13535311372069,NA,17.3671012832126,NA,3.40119738166216,3.17805383034795,1.79175946922805,1.79175946922805,2.89037175789616,1.79175946922805,1.79175946922805,NA,2.484906649788
